cycle_time,duration_cam,duration_end,wait,fork_light_barrier,acc_sensor,motor_temp,Lego_check,width_Lego,length_Lego,horizontal_distance,vertical_distance,failure_mode
00:00:02,00:00:02,00:00:00,00:05:39,1,2.6416,28.5206,1,164.23,246.44,-0.032533,-0.38993,Unplanned_Maintenance
00:00:02,00:00:02,00:00:00,00:07:05,1,2.6519,26.7138,1,163.77,246.32,-0.033498,-0.36709,Unplanned_Maintenance
00:00:02,00:00:01,00:00:01,00:00:03,1,2.6487,24.1249,1,163.53,246.42,-0.038323,-0.36612,Normalfall
00:00:07,00:00:07,00:00:00,00:00:03,1,2.6484,28.774,1,163.35,246.28,0.025371,-0.01677,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:00:03,1,2.6513,27.0664,1,163.36,246.68,0.02151,-0.024169,Normalfall
00:00:04,00:00:03,00:00:01,00:00:02,1,2.6362,27.3638,1,163.11,246.63,-0.044435,-0.34006,Blocked_Lego
00:00:05,00:00:04,00:00:01,00:00:02,1,2.6519,26.6367,1,163.82,246.51,-0.042183,-0.0061546,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:00:37,1,2.6413,28.0138,1,163.72,246.47,0.024084,-0.32816,Waiting_Time
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6535,28.2562,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:01,00:00:01,00:17:30,1,2.6471,27.5181,1,163.49,246.39,0.017328,-0.3629,Unplanned_Maintenance
00:00:04,00:00:01,00:00:03,00:25:52,1,2.6375,27.7935,1,163.36,246.47,0.027301,0,Machine_Downtime_Long
00:00:04,00:00:03,00:00:01,00:00:02,1,2.6432,28.6307,1,164.05,246.51,0.026014,-0.36033,Blocked_Lego
00:00:05,00:00:04,00:00:01,00:00:02,1,2.6362,28.5757,1,163.1,246.39,0.023119,-0.021596,Blocked_Lego
00:00:06,00:00:01,00:00:05,00:00:24,1,2.6545,23.8605,1,163.55,0,0.018937,-0.040253,Waiting_Time
00:00:02,00:00:02,00:00:00,00:04:38,1,2.6645,23.475,0,0,0,0,-0.27187,Machine_Downtime_Short
00:00:02,00:00:02,00:00:00,00:04:27,1,2.6407,26.0639,0,0,0,0,-0.33299,Machine_Downtime_Short
00:00:02,00:00:01,00:00:01,00:00:03,1,2.6494,28.6528,1,163.19,246.56,0.025049,-0.37513,Normalfall
00:00:02,00:00:01,00:00:01,00:03:34,1,2.6394,23.1665,1,163.56,246.69,-0.03961,-0.37931,Waiting_Time
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6439,26.0308,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:03:45,1,2.6407,26.7469,1,163.58,246.21,0.023119,-0.34971,Waiting_Time
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6407,26.846,0,0,0,0,0,Fallen_Lego
00:00:05,00:00:01,00:00:04,00:00:36,1,2.651,27.6172,1,164.24,246.27,0.022475,0,Machine_Downtime_Short
00:00:02,00:00:01,00:00:01,00:02:47,1,2.642,28.1019,1,163.53,246.58,-0.029638,-0.019344,Waiting_Time
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6487,26.7469,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:09:31,1,2.6545,28.9723,0,0,0,0,-0.26768,Machine_Downtime_Long
00:00:02,00:00:02,00:00:00,00:20:00,1,2.6526,23.8605,0,0,0,0,-0.28313,Machine_Downtime_Long
00:00:02,00:00:01,00:00:01,00:23:08,1,2.6378,27.7935,1,164.27,246.72,0.027622,-0.36419,Unplanned_Maintenance
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6384,25.7334,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:29:01,1,2.6429,26.7579,0,0,0,0,-0.29085,Machine_Downtime_Long
00:00:05,00:00:04,00:00:01,00:00:02,1,2.6429,28.5316,1,163.14,246.25,-0.034785,-0.35808,Blocked_Lego
00:00:05,00:00:05,00:00:00,00:00:00,1,2.6548,25.3258,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:01,00:00:01,00:01:17,1,2.6587,27.4189,1,163.39,246.42,-0.039932,-0.3362,Waiting_Time
00:00:02,00:00:02,00:00:00,00:23:08,1,2.6362,22.6707,0,0,0,0,-0.29985,Machine_Downtime_Long
00:00:02,00:00:01,00:00:01,00:00:02,1,2.6436,27.2096,1,163.35,246.25,-0.032211,-0.37577,Normalfall
00:00:02,00:00:01,00:00:01,00:25:31,1,2.6352,27.3969,1,163.98,246.37,0.02344,-0.03382,Unplanned_Maintenance
00:00:02,00:00:02,00:00:00,00:25:33,1,2.6407,26.5045,0,0,0,0,-0.26929,Machine_Downtime_Long
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6387,25.9096,1,163.47,246.28,-0.10137,-0.026421,Reduced_Motorspeed
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6452,28.4655,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:01:03,1,2.649,28.3223,0,0,0,0,-0.26511,Machine_Downtime_Short
00:00:02,00:00:02,00:00:00,00:14:16,1,2.6516,28.6638,1,163.24,246.63,-0.030924,-0.33846,Unplanned_Maintenance
00:00:04,00:00:03,00:00:01,00:00:03,1,2.6458,26.3393,1,163.93,246.83,-0.031246,-0.35486,Reduced_Motorspeed
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6381,28.0909,0,0,0,0,0,Fallen_Lego
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6416,27.507,1,163.69,246.11,-0.036071,-0.38413,Reduced_Motorspeed
00:00:02,00:00:01,00:00:01,00:00:03,1,2.6352,27.3969,1,163.98,246.37,0.02344,-0.03382,Normalfall
00:00:05,00:00:02,00:00:03,00:15:34,1,2.651,27.8816,1,163.17,246.77,0.029874,0,Machine_Downtime_Long
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6654,27.1325,0,0,0,0,0,Fallen_Lego
00:00:05,00:00:02,00:00:03,00:07:20,1,2.65,27.2977,1,164.09,246.27,-0.024169,0,Machine_Downtime_Long
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6465,27.9367,1,163.78,246.6,-0.090758,-0.35004,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:02:46,1,2.6558,28.7519,1,163.96,246.33,-0.030281,-0.35518,Waiting_Time
00:00:05,00:00:02,00:00:03,00:24:33,1,2.6404,27.5511,1,163.47,246.4,-0.027064,0,Machine_Downtime_Long
00:00:02,00:00:02,00:00:00,00:00:03,1,2.6577,28.124,1,163.54,246.59,0.023119,-0.36194,Normalfall
00:00:02,00:00:02,00:00:00,00:03:24,1,2.6391,27.8486,1,163.81,246.4,0.026336,-0.37609,Waiting_Time
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6394,28.5426,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:00:24,1,2.6381,29.1926,0,0,0,0,-0.28538,Machine_Downtime_Short
00:00:02,00:00:01,00:00:01,00:20:25,1,2.6577,28.4435,1,163.99,246.8,-0.038001,-0.3629,Unplanned_Maintenance
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6381,28.0689,0,0,0,0,0,Fallen_Lego
00:00:03,00:00:03,00:00:00,00:00:00,1,2.6474,28.113,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:02,00:00:00,00:00:27,1,2.6358,29.0714,0,0,0,0,-0.25031,Machine_Downtime_Short
00:00:04,00:00:04,00:00:00,00:00:03,1,2.6529,28.8401,1,162.95,246.44,0.025049,-0.02063,Blocked_Lego
00:00:05,00:00:05,00:00:00,00:00:03,1,2.6426,25.7444,1,163.92,246.38,0.025049,-0.37706,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:19:28,1,2.6429,29.0824,1,164.16,246.56,0.026014,-0.38253,Unplanned_Maintenance
00:00:02,00:00:01,00:00:01,00:00:03,1,2.6429,28.3774,1,163.9,246.62,0.026336,-0.026099,Normalfall
00:00:07,00:00:06,00:00:01,00:00:02,1,2.6404,29.2367,1,164.04,246.45,-0.02063,-0.33781,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:19:21,1,2.6326,27.9697,1,163.21,246.24,-0.033498,-0.34457,Unplanned_Maintenance
00:00:03,00:00:02,00:00:01,00:00:04,1,2.6426,24.4885,1,163.98,246.96,-0.047974,-0.38606,Reduced_Motorspeed
00:00:02,00:00:02,00:00:00,00:17:03,1,2.6278,29.1375,0,0,0,0,-0.26286,Machine_Downtime_Long
00:00:04,00:00:03,00:00:01,00:00:03,1,2.649,28.7519,1,163.23,246.26,-0.013232,-0.37255,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:22:27,1,2.6381,29.2807,1,163.43,246.39,-0.028351,-0.014518,Unplanned_Maintenance
00:00:02,00:00:01,00:00:01,00:01:31,1,2.6484,27.0774,1,163.71,246.47,0.020867,-0.021917,Waiting_Time
00:00:03,00:00:02,00:00:01,00:00:03,1,2.6384,27.9367,1,163.14,246.52,0.026336,-0.02063,Reduced_Motorspeed
00:00:03,00:00:03,00:00:00,00:00:03,1,2.6394,27.5291,1,163.5,246.56,0.05207,-0.34103,Blocked_Lego
00:00:02,00:00:02,00:00:00,00:00:03,1,2.6487,28.9833,1,164.18,246.49,0.022797,-0.3436,Normalfall
00:00:02,00:00:02,00:00:00,00:02:58,1,2.6371,28.7519,1,163.31,246.18,0.022475,-0.35583,Waiting_Time
00:00:02,00:00:01,00:00:01,00:24:13,1,2.6561,27.5621,1,163.57,246.33,0.023119,-0.37481,Unplanned_Maintenance
00:00:05,00:00:05,00:00:00,00:00:03,1,2.6497,28.7629,1,163.62,246.53,-0.029316,-0.028673,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:03:11,1,2.6487,27.0113,1,163.77,246.43,-0.036393,-0.36612,Waiting_Time
00:00:04,00:00:03,00:00:01,00:00:02,1,2.65,27.7604,1,163.75,246.66,-0.10974,-0.36902,Blocked_Lego
00:00:02,00:00:01,00:00:01,00:00:02,1,2.6548,27.0774,1,164.01,246.79,-0.034785,-0.38574,Normalfall
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6471,25.0503,0,0,0,0,0,Fallen_Lego
00:00:02,00:00:01,00:00:01,00:00:55,1,2.6471,27.6392,1,163.26,246.68,0.025049,-0.36805,Waiting_Time
00:00:02,00:00:02,00:00:00,00:02:59,1,2.6539,26.2952,0,0,0,0,-0.2857,Machine_Downtime_Short
00:00:05,00:00:02,00:00:03,00:00:36,1,2.6461,28.0138,1,163.62,246.45,-0.088506,0,Machine_Downtime_Short
00:00:01,00:00:01,00:00:00,00:00:03,1,2.6452,28.3994,1,163.34,246.5,-0.028351,-0.39025,Normalfall
00:00:03,00:00:03,00:00:00,00:00:03,1,2.6494,26.141,1,163.3,246.65,0.029874,-0.37867,Blocked_Lego
00:00:04,00:00:03,00:00:01,00:00:02,1,2.6391,26.8571,1,163.36,246.43,-0.044757,-0.35036,Blocked_Lego
00:00:04,00:00:04,00:00:00,00:00:00,1,2.6497,25.3698,0,0,0,0,0,Fallen_Lego
00:00:04,00:00:03,00:00:01,00:00:03,1,2.6358,26.9011,1,163.42,246.69,0.024405,-0.34907,Blocked_Lego
