Publication type,Year,Authors,CiteScore,CiteScorePercentile,Views,OpenAccess,Affiliations,Prominence,Citations,FWCI
Conference Paper,2016,4,17.4,1,2838,0,1,99.998,65928,2208.72
Conference Paper,2016,4,17.4,1,777,1,3,99.998,13827,467.97
Conference Paper,2016,5,17.4,1,443,1,2,99.998,10655,358
Conference Paper,2016,7,1.6,40,388,1,4,99.998,10349,792.96
Conference Paper,2016,2,,,559,1,1,98.979,9752,384.13
Conference Paper,2016,22,,,334,0,1,99.998,9175,775.74
Article,2016,4,22,1,450,1,2,99.622,4200,212.35
Conference Paper,2016,2,,,154,1,1,98.725,4170,237.87
Article,2016,2,4.8,7,579,0,2,99.796,4079,162.74
Conference Paper,2016,9,17.4,1,151,1,4,99.998,3875,151.64
Book,2016,4,,,1344,0,3,89.83,3835,139.85
Article,2016,53,4.7,5,564,1,53,74.633,3767,224.49
Conference Paper,2016,3,,,547,0,1,99.998,3709,154.95
Conference Paper,2016,3,17.4,1,143,1,2,99.622,3466,145.43
Conference Paper,2016,3,1.6,40,122,1,1,99.622,3399,273.58
Conference Paper,2016,4,1.6,40,93,1,1,99.998,3397,289.51
Conference Paper,2016,5,17.4,1,119,1,2,99.998,3370,105.34
Article,2016,1,8.7,1,90,1,1,22.784,3286,281.4
Conference Paper,2016,3,,,199,1,2,99.998,3277,160.4
Article,2016,5,8,6,848,0,1,99.956,3222,136.91
Conference Paper,2016,6,,,295,0,1,99.707,3052,314.7
Conference Paper,2016,4,,,173,0,2,99.998,3017,296.56
Article,2016,9,8.2,5,938,1,3,99.998,2757,120.97
Conference Paper,2016,8,17.4,1,79,1,1,99.622,2608,91.87
Conference Paper,2016,6,,,106,1,2,99.916,2580,173.89
Conference Paper,2016,3,,,176,0,1,95.696,2526,168.89
Article,2016,8,5,6,250,0,3,99.552,2418,92.46
Article,2016,4,5.3,6,139,1,2,98.611,2360,105.3
Conference Paper,2016,3,17.4,1,138,0,5,99.903,2272,99.23
Conference Paper,2016,5,17.4,1,85,1,1,99.998,2222,94.81
Conference Paper,2016,5,1.6,40,151,1,7,99.998,2171,160.81
Article,2016,10,4.7,5,134,1,5,99.505,2163,116.94
Review,2016,2,3.5,14,3126,1,1,99.98,2013,45.89
Article,2016,3,3.7,10,303,1,3,98.952,1979,81.37
Short Survey,2016,2,9.2,3,516,0,2,99.808,1950,26.18
Conference Paper,2016,2,,,30,0,2,99.998,1890,158.82
Article,2016,3,17.7,1,233,1,1,99.883,1887,91.46
Conference Paper,2016,3,1.6,40,48,1,1,99.33,1865,146.81
Conference Paper,2016,3,,,228,0,1,99.409,1859,132.42
Article,2016,3,10.8,1,25,1,3,40.426,1852,41.09
Conference Paper,2016,3,,,86,0,2,99.998,1851,145.85
Conference Paper,2016,5,,,71,0,1,98.502,1825,112.6
Article,2016,1,8.2,6,226,0,2,99.796,1803,42.54
Conference Paper,2016,4,1.6,40,89,0,3,99.733,1711,168.3
Conference Paper,2016,5,1.6,40,101,1,1,99.722,1701,139.81
Conference Paper,2016,6,,,111,0,3,99.707,1673,173.13
Conference Paper,2016,3,17.4,1,109,1,2,99.629,1631,82.29
Conference Paper,2016,4,1.6,40,64,1,2,99.998,1618,164.19
Conference Paper,2016,3,17.4,1,49,1,1,99.998,1597,51.56
Conference Paper,2016,2,17.4,1,103,1,1,99.722,1592,84.5
Conference Paper,2016,3,17.4,1,51,1,2,99.622,1555,64.09
Review,2016,5,14,2,301,1,8,95.681,1550,25.14
Conference Paper,2016,4,17.4,1,75,1,1,99.33,1545,82.08
Article,2016,4,6.5,9,145,1,5,99.956,1543,68.8
Conference Paper,2016,5,,,141,1,2,99.294,1502,98.47
Conference Paper,2016,6,,,159,1,4,98.437,1494,143.76
Article,2016,8,8.9,4,417,1,10,98.358,1488,61.46
Article,2016,3,4.6,21,482,1,1,99.552,1466,47.23
Article,2016,16,9.6,3,113,0,3,98.006,1465,61.07
Article,2016,7,8.2,5,506,1,4,99.998,1448,68.69
Article,2016,3,5.4,6,1606,0,4,99.692,1441,84.97
Conference Paper,2016,3,,,73,0,3,99.998,1408,116.32
Book,2016,2,,,222,0,2,96.756,1407,56.71
Article,2016,4,10.8,1,27,1,15,99.262,1381,38.33
Conference Paper,2016,3,,,92,0,2,98.725,1381,84.19
Article,2016,4,22,1,325,0,2,99.998,1378,80.23
Review,2016,5,9.2,3,242,1,5,99.79,1373,28.65
Conference Paper,2016,4,,,31,1,1,99.581,1364,88.99
Conference Paper,2016,2,17.4,1,92,0,2,91.431,1363,47.78
Article,2016,4,10.8,3,1131,0,2,99.911,1349,86.89
