,Authors,CiteScore,CiteScorePercentile,Views,OpenAccess,Affiliations,Prominence,Citations,FWCI,Publication type
43660,3,8.2,1.0,34,0,3,84.818,21,1.99,Article
87278,6,,,26,1,4,98.539,11,3.5,Conference Paper
14317,3,,,16,0,1,99.552,49,6.91,Conference Paper
81932,4,,,14,0,3,91.38600000000001,11,3.33,Conference Paper
95321,3,1.6,38.0,71,0,2,74.678,10,0.52,Article
5405,3,,,38,0,2,99.51899999999999,92,7.63,Conference Paper
33188,4,2.9,22.0,20,0,3,99.71600000000001,26,2.51,Article
63421,3,3.5,20.0,18,1,3,99.62899999999999,15,0.83,Article
72897,2,3.7,10.0,34,0,1,67.30199999999999,13,0.49,Article
9507,4,5.7,14.0,21,0,2,86.527,64,3.65,Article
88624,4,1.6,40.0,35,0,3,92.848,10,1.45,Conference Paper
95115,7,,,13,0,4,99.883,10,1.19,Conference Paper
99243,4,,,21,0,2,37.863,9,1.57,Conference Paper
77045,6,,,19,1,1,76.494,12,2.12,Conference Paper
31791,5,,,37,0,4,97.214,27,4.73,Conference Paper
45417,3,1.6,40.0,18,1,5,92.179,20,2.66,Conference Paper
71963,2,,,13,1,1,98.529,13,2.34,Conference Paper
91216,3,,,21,0,1,92.20299999999999,10,2.52,Conference Paper
31924,4,6.8,11.0,44,0,2,94.561,27,1.93,Article
15134,2,1.8,55.0,20,0,2,93.40899999999999,47,3.39,Article
16405,4,3.2,18.0,31,0,2,95.59100000000001,45,2.18,Article
22718,2,6.4,2.0,35,0,1,84.307,35,1.52,Article
15522,10,,,18,0,7,86.705,47,4.75,Conference Paper
24507,4,2.9,22.0,34,0,4,94.553,33,2.91,Article
13979,5,3.6,16.0,46,0,1,98.36399999999999,50,1.47,Article
71898,11,,,10,0,1,87.27600000000001,13,3.4,Conference Paper
64290,4,,,11,0,2,97.691,15,1.11,Conference Paper
27706,3,6.8,11.0,41,0,2,81.999,30,1.93,Article
92621,3,0.7,68.0,16,0,2,61.034,10,2.64,Conference Paper
66503,2,,,10,0,2,22.285,14,1.75,Conference Paper
32959,4,4.3,7.0,25,0,5,75.888,27,1.99,Article
50907,2,,,7,0,2,99.79700000000001,18,3.88,Conference Paper
82950,6,,,21,0,5,81.17399999999999,11,1.9,Conference Paper
84717,3,16.3,1.0,14,0,1,,11,0.63,Article
6839,4,5.6,5.0,45,0,2,96.012,79,3.93,Article
3015,3,,,5,0,1,99.581,130,8.98,Conference Paper
21702,2,4.3,10.0,102,0,2,10.86,37,2.6,Article
72719,3,,,19,0,1,99.559,13,1.29,Conference Paper
27709,2,,,26,1,2,74.702,30,6.12,Conference Paper
88505,7,,,136,0,2,99.839,10,0.64,Article
94640,3,1.4,65.0,20,1,1,87.68,10,0.51,Conference Paper
60697,2,,,9,0,2,92.664,16,3.46,Conference Paper
73682,6,1.8,35.0,16,1,2,27.745,13,3.33,Conference Paper
46698,3,,,11,0,1,99.916,20,3.53,Conference Paper
32179,5,5.4,8.0,6,0,2,95.21,27,2.25,Article
44305,6,4.1,18.0,50,1,3,97.59100000000001,21,1.22,Article
4004,2,4.8,7.0,228,0,1,99.34,110,10.17,Article
82831,3,1.5,62.0,17,0,4,90.285,11,1.41,Conference Paper
99338,4,2.4,38.0,17,1,1,98.035,9,0.91,Article
1217,5,8.0,6.0,151,1,5,99.07600000000001,222,15.06,Article
12878,3,3.5,13.0,64,0,2,92.92200000000001,53,4.8,Article
5589,2,5.4,14.0,24,1,1,98.29,90,1.87,Review
82626,6,,,2,0,3,96.67,11,0.88,Conference Paper
21985,4,4.7,9.0,47,1,2,99.414,36,2.2,Article
90259,3,3.1,20.0,15,1,2,98.286,10,0.28,Article
37085,4,10.8,1.0,10,1,5,96.944,24,1.68,Article
42548,1,0.8,77.0,76,0,1,92.54799999999999,22,1.29,Article
32735,2,2.6,33.0,12,0,1,55.568999999999996,27,1.97,Article
