Date,Weekly_Sales
2/5/2010,503198.77
2/12/2010,942737.64
2/19/2010,779005.83
2/26/2010,538257.32
3/5/2010,544534.48
3/12/2010,490073.95
3/19/2010,604315.28
3/26/2010,784476.85
4/2/2010,1804451.29
4/9/2010,986057.29
4/16/2010,408163.8
4/23/2010,380583.34
4/30/2010,419552.85
5/7/2010,385618.87
5/14/2010,415440.9
5/21/2010,362658.62
5/28/2010,425411.26
6/4/2010,483452.15
6/11/2010,282735.1
6/18/2010,475314.33
6/25/2010,431707.21
7/2/2010,527680.1
7/9/2010,460009.19
7/16/2010,405345.09
7/23/2010,386917.26
7/30/2010,448275.92
8/6/2010,348775.01
8/13/2010,489317.12
8/20/2010,365754.58
8/27/2010,445475.75
9/3/2010,437149.43
9/10/2010,541892.27
9/17/2010,309859.99
9/24/2010,499314.81
10/1/2010,556940.23
10/8/2010,650600.29
10/15/2010,753858.77
10/22/2010,737601.78
10/29/2010,1109325.66
11/5/2010,779352.01
11/12/2010,445062.46
11/19/2010,387680.16
11/26/2010,558435.56
12/3/2010,551023.22
12/10/2010,896173.27
12/17/2010,1219869.34
12/24/2010,1858486.12
12/31/2010,372730.61
1/7/2011,356874.26
1/14/2011,392729.58
1/21/2011,345037.05
1/28/2011,371580.48
2/4/2011,703967.81
2/11/2011,709945.26
2/18/2011,782637.63
2/25/2011,420120.16
3/4/2011,369297.85
3/11/2011,391179.59
3/18/2011,511858.93
3/25/2011,565540.58
4/1/2011,497376.89
4/8/2011,521996.09
4/15/2011,833634.38
4/22/2011,1659729.59
4/29/2011,1028005.86
5/6/2011,434907.66
5/13/2011,374500.74
5/20/2011,346982.86
5/27/2011,390762.3
6/3/2011,438319.86
6/10/2011,414617.32
6/17/2011,507290.77
6/24/2011,408848.77
7/1/2011,474700.63
7/8/2011,461955.63
7/15/2011,509890.99
7/22/2011,473003.52
7/29/2011,374040.72
8/5/2011,477578.49
8/12/2011,378788.76
8/19/2011,451537.58
8/26/2011,393979.17
9/2/2011,404618.82
9/9/2011,487212.29
9/16/2011,501579.06
9/23/2011,579025.77
9/30/2011,509393.12
10/7/2011,467822.63
10/14/2011,560797.39
10/21/2011,606538.29
10/28/2011,825657.4
11/4/2011,889795.48
11/11/2011,408431.08
11/18/2011,457895
11/25/2011,506118.46
12/2/2011,573925.09
12/9/2011,1022420.49
12/16/2011,1300501.59
12/23/2011,1657425.7
12/30/2011,558214.17
1/6/2012,339719.24
1/13/2012,454463.16
1/20/2012,359364.18
1/27/2012,507559.58
2/3/2012,497385.53
2/10/2012,763616.17
2/17/2012,1263358.16
2/24/2012,487140.83
3/2/2012,498387.75
3/9/2012,564825.82
3/16/2012,526934.36
3/23/2012,563645.71
3/30/2012,671791.5
4/6/2012,1852297.44
4/13/2012,1066676.26
4/20/2012,475902.47
4/27/2012,310643.97
5/4/2012,393033.17
5/11/2012,365972.14
5/18/2012,504370.94
5/25/2012,448798.7
6/1/2012,334286.63
6/8/2012,449231.9
6/15/2012,465829.52
6/22/2012,459213.32
6/29/2012,412415.14
7/6/2012,435542.48
7/13/2012,520491.69
7/20/2012,548606.61
7/27/2012,294663.3
8/3/2012,368416.92
8/10/2012,355503.12
8/17/2012,423355.48
8/24/2012,443225.77
8/31/2012,464879.78
9/7/2012,495008.51
9/14/2012,500771.99
9/21/2012,505915.19
9/28/2012,489050.12
10/5/2012,486421.13
10/12/2012,635178.24
10/19/2012,626152.99
10/26/2012,836710.95
